Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"openBrowser("""")",Firefox 65.0,,2019-02-21 17:29:57,2019-02-21 17:30:04,7.685s,PASSED
"navigateToUrl(""http://testingerp.epizy.com/?i=1"")",Firefox 65.0,,2019-02-21 17:30:05,2019-02-21 17:30:10,5.344s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_IIHT ERP/input_Username _username""), username)",Firefox 65.0,,2019-02-21 17:30:10,2019-02-21 17:30:10,0.192s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_IIHT ERP/input_Password _password""), password)",Firefox 65.0,,2019-02-21 17:30:10,2019-02-21 17:30:10,0.105s,PASSED
"click(findTestObject(""Object Repository/Login/Page_IIHT ERP/button_Login""))",Firefox 65.0,,2019-02-21 17:30:10,2019-02-21 17:30:10,0.305s,PASSED
delay(2),Firefox 65.0,,2019-02-21 17:30:10,2019-02-21 17:30:12,2.001s,PASSED
"if (verifyElementText(findTestObject(""Login/Page_IIHT ERP/Username""), ""This field is required."", OPTIONAL))",Firefox 65.0,,2019-02-21 17:30:12,2019-02-21 17:30:14,1.424s,PASSED
"else if (verifyElementText(findTestObject(""Login/Page_IIHT ERP/Password""), ""This field is required."", OPTIONAL))",Firefox 65.0,,2019-02-21 17:30:14,2019-02-21 17:30:14,0.001s,PASSED
"else if (verifyElementText(findTestObject(""Login/Page_IIHT ERP/Incorrectidpass""), ""Please enter correct username and password"", OPTIONAL))",Firefox 65.0,,2019-02-21 17:30:14,2019-02-21 17:30:14,0.000s,PASSED
else,Firefox 65.0,,2019-02-21 17:30:14,2019-02-21 17:30:14,0.002s,PASSED
